annotation_text,annotated_quote,annotation_location,category
"These lines really show the classism that was present in Shakespeare and at the time for the idea that the daughter of a king would still be seen as remarkable and far better than what should have come from a cottage simply due to her birth status and not how she was raised and with what resources she grew up with. To Shakespeare class is inherent, not a product of your surroundings. ","I have heard, sir, of such a man, who hath a
  daughter of most rare note. The report of her is
[45]  extended more than can be thought to begin from
  such a cottage.",Act 4 Scene 2,Class
"These lines again represent deep, inherent classism present in the core of the play. Polixenes clearly assumes the shepherd will be simple and easy to fool simply due to the seemingly irrelevant fact that he is a shepherd and Polixenes is a king.","appearing what we are, have some question with
  the shepherd, from whose simplicity I think it not
  uneasy to get the cause of my son’s resort thither.",Act 4 Scene 2,Class
"This whole scene, to me, represents exactly what powers time boasted of at the beginning of the play. It seems time in this scene dragged on and on; the action felt chaotic and incredibly detailed, unlike the beginning of the act where 16 years passed by with the blink of an eye.",it.,Act 4 Scene 4 Part 2,Class
"It seems Cleomenes is falling over to praise Leontes for all of the growth and change he has gone through in the past 16 years, all of his faults forgotten due to how much he's suffered in that time. I find this a bit skeptical - how much growing can one really do when one is surrounded by people who will only tell them exactly what they want to hear?","No fault could you make
  Which you have not redeemed—indeed, paid down
  More penitence than done trespass.",Act 5 Scene 1,Class
"This sentiment really struck me as similar to the modern ""not like other girls"" trope. Leontes isn't grieving because he caused the death of any woman, but due to the virtue and specialness of this woman specifically. His respect does not extend past that.","True, too true, my lord.
[15]  If one by one you wedded all the world,
  Or from the all that are took something good
  To make a perfect woman, she you killed
  Would be unparalleled.",Act 5 Scene 1,Gender
"I found this concept fairly disturbing - that if Leontes married again, Hermione would appear and 'incense' him to murder his new wife. For one, it shows Leontes still takes little responsibility for his own actions, but it also shows a complete lack of remorse for violence against women. It seems Leontes' growth only extends to the one woman he has martyred and deemed worthy of his respect: Hermione. Killing his new wife is apparently still a rational choice. ","She had, and would incense me
[75]  To murder her I married.",Act 5 Scene 1,Gender
"The presentation of Hermione as a statue really furthers the imagery of her as a martyr, representative of virtue. She has become this symbol of a perfect woman, rather than being allowed to be her own human being. She wasn't really allowed to be a complex character with her own interesting growth and flaws and journey. ",To see the statue of our queen.,Act 5 Scene 3,Gender
"The imagery of Hermione as a statue feels a bit almost on the nose in terms of the idea of objectification. Hermione has quite literally been turned into an object, frozen and stagnant for the sole purpose of allowing a man's character to develop. Hermione became a way to facilitate Leontes' journey, forced to remain and statue, rather than having her own journey and being allowed growth of her own. ","[She draws a curtain
to reveal Hermione (like a statue).]",Act 5 Scene 3,Gender
I found the ending of the play to be a bit disappointing. I feel like Leontes really never had to come to terms with his wrongdoing and instead was given back everything he had lost by the end of the play. Everyone suffered and endured violence at his own hand and yet he still celebrates at the end of the play.,POLIXENES   She embraces him.,Act 5 Scene 3,Class
"Shakespeare foreshadowing for the ""branching"" off or separation that happens later between these characters","Sicilia cannot show himself over-kind to Bohemia.
  They were trained together in their childhoods,
  and there rooted betwixt them then such an",Act 1 Scene 1,Class
"could be read as their friendship loves which would be each other, or their romantic loves which would be their wives",The heavens continue their loves.,Act 1 Scene 1,Class
"effectively arguing, and Leontes praises her, showing off Hermione's power ","All in Bohemia’s well. This satisfaction
  The bygone day proclaimed.",Act 1 Scene 2,Gender
this is saucy. Mild flirting?,"By this we gather
  You have tripped since.",Act 1 Scene 2,None
"highlighting the importance of faithfulness and religious virtue when it comes to sin, i.e assumingly Hermione is talking about the sin of sex? and  that sin is only being committed with the wives ","If you first sinned with us, and that with us
  You did continue fault, and that you slipped not
  With any but with us.",Act 1 Scene 2,Sexuality
also gearing up for the adultery accusation by Leontes,"If you first sinned with us, and that with us
  You did continue fault, and that you slipped not
  With any but with us.",Act 1 Scene 2,Sexuality
"Antigonus seems to be generalising and labelling all women  as traitorous  if one suspected to be guilty, This notion of putting all women under one witness box of infidelity is clearly patriarchal.","If it prove
  She’s otherwise, I’ll keep my stables where
  I lodge my wife. I’ll go in couples with her;
  Than when I feel and see her, no farther trust her.
[165]  For every inch of woman in the world,
  Ay, every dram of woman’s flesh, is false,
  If she be.",Act 2 Scene 1,Gender
"""satisfy"" was the wrong word to use here Camillo, especially talking about the wife of a jealous, sexist king ","Satisfy?
  Th’ entreaties of your mistress? Satisfy?",Act 1 Scene 2,Sexuality
"interesting that Leontes' son points out the physical description of the second lady instead of an intellectual reason of why he wants to play with her, i.e because she's smart, funny, etc. Following in dad's footsteps?","Not for because
  Your brows are blacker—yet black brows, they say,
  Become some women best, so that there be not
  Too much hair there, but in a semicircle,
  Or a half-moon made with a pen.",Act 2 Scene 1,Gender
essentially saying to praise her for her body and nothing else because now she's an adultress (whore),"Praise her but for this her without-door form,
  Which on my faith deserves high speech, and
  straight",Act 2 Scene 1,Sexuality
"another possible richard III crossover, as they are comparably sexist evil villains and saying that she's a adultress makes Leontes even more of a villian, (not much of a comeback but she's in shock) ","Should a villain say so,
  The most replenished villain in the world,
[100]  He were as much more villain. You, my lord,
  Do but mistake.",Act 2 Scene 1,Class
emphasizes Hermione's helplessness in her situation as a woman and as a prisoner,"“My poor prisoner,
  I am innocent as you.”",Act 2 Scene 2,Gender
emphasizes Hermione's truly character as more innocent and pure than Leontes is jealous and weak,"A gracious innocent soul,
  More free than he is jealous.",Act 2 Scene 3,Gender
"good example of a powerful woman in the play, in addition to Hermione","Let him that makes but trifles of his eyes
  First hand me.",Act 2 Scene 3,Gender
a good example of sexism from Leontes-- not that he's in any shortage of it,"A gross hag!—
  And, losel, thou art worthy to be hanged
  That wilt not stay her tongue.",Act 2 Scene 3,Gender
"This issue still has implications today, as many men would struggle to raise another man's child as his own because he's not ""his blood""  which is a stupid concept if you ask me ","No, I’ll not rear
[235]  Another’s issue.",Act 2 Scene 3,Gender
"a good instance of Hermione's intelligence, her persuasive speaking skills here are top notch. She's not just saying she's not guilty because she knows that won't work instead, she's using empathy to persuade the audience to know that she is the Most Unhappy Woman in the world, not even seen on a stage. ","As I am now unhappy; which is more
  Than history can pattern, though devised
  And played to take spectators.",Act 3 Scene 2,Gender
"Reminding her audience of her authority as the Queen of the kingdom, the mother to an infant girl, the bearer of the heir to the throne....","For behold me,
  A fellow of the royal bed, which owe
[40]  A moiety of the throne, a great king’s daughter,
  The mother to a hopeful prince, here standing
  To prate and talk for life and honor fore
  Who please to come and hear.",Act 3 Scene 2,None
"respectable claim that one's honor is passed down to her children, so for that reason she will fight for honor and for her children","For honor,
[45]  ’Tis a derivative from me to mine,
  And only that I stand for.",Act 3 Scene 2,None
"allusion to Hermione's royal blood, which gives her some degree of authority and power in comparison to other women ","The Emperor of Russia was my father.
  O, that he were alive and here beholding
  His daughter’s trial, that he did but see
[130]  The flatness of my misery, yet with eyes
  Of pity, not revenge.",Act 3 Scene 2,Gender
summary of the play right there,"Hermione is chaste, Polixenes blameless,
  Camillo a true subject, Leontes a jealous tyrant,
  his innocent babe truly begotten; and the King shall
[145]  live without an heir if that which is lost be not
  found.",Act 3 Scene 2,Class
Leontes thinks himself so powerful that he can defy the gods,"LEONTES 
  There is no truth at all i’ th’ oracle.
  The sessions shall proceed. This is mere falsehood.",Act 3 Scene 2,Gender
"the personified Time even seems to know that it's a crime (of literacy) to move time forward in this weird, disjointed way.  ",Impute it not a crime,Act 4 Scene 1,None
"personified Time asks for consent to move time forward, but he kind of already has, so you can't unring that bell time. Ask first, wait for answer, then move time forward. ","Your patience this allowing,",Act 4 Scene 1,Class
This is kind of a tease. Time has told us everything else about what has happened but won't tell us this?,"What of her ensues
  I list not prophesy",Act 4 Scene 1,None
"an interesting echoing that illness or sickness in this play stems from emotions, instead of actual sickness, but can have similar effects, kind of like how depression during quarantine can make people physically ill ","Tis a sickness denying thee anything,
  a death to grant this.",Act 4 Scene 2,Class
the beginning of the play,"When daffodils begin to peer,
   With heigh, the doxy over the dale,
  Why, then comes in the sweet o’ the year,
   For the red blood reigns in the winter’s pale.",Act 4 Scene 3,Class
the beginning of the play's descent into pure comedy with Autolycus taking the role of the comedic relief,"When daffodils begin to peer,
   With heigh, the doxy over the dale,
  Why, then comes in the sweet o’ the year,
   For the red blood reigns in the winter’s pale.",Act 4 Scene 3,None
"a lot of characters name in this play derive from Greek mythology but anyways, in homer autolycus is the son of hermes, and is a fun loving thief ",AUTOLYCUS,Act 4 Scene 3,Class
"interesting that Florizell choose to compare Perdita to the woman who were usually raped by the gods in their mortal/animal form, i.e Leda and the swan, kind of implying that Perdita is more chaste than the other women? But it's nice that Florizell is one of the men in the play who","Apprehend
  Nothing but jollity. The gods themselves,
[30]  Humbling their deities to love, have taken
  The shapes of beasts upon them. Jupiter
  Became a bull, and bellowed; the green Neptune
  A ram, and bleated; and the fire-robed god,
  Golden Apollo, a poor humble swain,
[35]  As I seem now. Their transformations
  Were never for a piece of beauty rarer,
  Nor in a way so chaste, since my desires
  Run not before mine honor, nor my lusts
  Burn hotter than my faith.",Act 4 Scene 4,Gender
IS THIS ALLOWED???? I would give all my monies to be in the audience while this person said this line in a Shakespeare play of all things,"with such delicate burdens
  of dildos and fadings, “Jump her and thump
  her.”",Act 4 Scene 4,Sexuality
"an interesting debate between Perdita and Polixenes about how a gardener can ""mend nature,"" while Perdita prefers a purer nature without human hands. Interesting concept in whether we should let things run their course or interfere?  ","Which does mend nature, change it rather, but
  The art itself is nature.",Act 4 Scene 4,None
I think Hermione during her trial would agree with you there...,"Ha, ha, what a fool Honesty is! And Trust,
  his sworn brother, a very simple gentleman!",Act 4 Scene 4,Gender
"nice, Leontes, you are so pathetic! His ego and jealously has certainly gotten the better of him","Good Paulina,
  Who hast the memory of Hermione,
[60]  I know, in honor, O, that ever I
  Had squared me to thy counsel! Then even now
  I might have looked upon my queen’s full eyes,
  Have taken treasure from her lips—",Act 5 Scene 1,Class
"reminds of Autoclyus's line of ""Ha, ha! what a fool Honesty is! and Trust, his sworn brother, a very simple gentleman!"" The ""fool"" or the comedic relief in the play often delivers funny but ultimately true lines","Camillo has betrayed me,
  Whose honor and whose honesty till now
  Endured all weathers.",Act 5 Scene 1,None
"the stars will fall before they get married, literally star-crossed lovers ","We are not, sir, nor are we like to be.

  The stars, I see, will kiss the valleys first.
  The odds for high and low’s alike.",Act 5 Scene 1,None
"dramatic reveal of hermione looking statue-like or as an actual statue, which is up for some debate. I actually would like if Hermione never actually died, Paulina just said she did so she would escape persecution and she's been lying in wait this whole time to get revealed. So i think Paulina and Hermione are in cahoots. ","[She draws a curtain
to reveal Hermione (like a statue).]",Act 5 Scene 3,Gender
"another reminder of the passage of time, and how some pains cannot be fixed by time","Which sixteen winters cannot blow away,
[60]  So many summers dry.",Act 5 Scene 3,Class
"kind of strange that they just throw Camillo and Paulina together at the end so everyone can have a happy ending despite Paulina's husband being eaten by a bear like, a few acts ago....","An honorable husband.—Come, Camillo,
[180]  And take her by the hand, whose worth and honesty
  Is richly noted and here justified
  By us, a pair of kings.",Act 5 Scene 3,None
I feel like shakespeare usually ends on more important words than these... it feels kind of anticlimatic.,We were dissevered. Hastily lead away.,Act 5 Scene 3,Class
"CONVERSATION LEADER POST: This passage intrigues me as Antigonus seems to be generalising and labelling all women as treacherous if one is suspected to be guilty. It is clearly a patriarchal mindset to accuse all women as infidels and thus placing them in that one witness box to penalise them. This reminds me of  #metoo  movement that is happening all around the  world. I  want to present a recent anecdote of a recent controversy happened in Bollywood film industry. A director Anurag Kashyap  has been allegedly accused of sexually harrassing an actress Payal Ghosh. His two former wives  came out in his support with no concrete evidences and considered this allegations 'baseless' .I  would like to discuss this ingrained gender biased conditioning about a man, if he is good to one then he must be good to other women as well while the same is not implied for women.","If it prove
  She’s otherwise, I’ll keep my stables where
  I lodge my wife. I’ll go in couples with her;
  Than when I feel and see her, no farther trust her.
[165]  For every inch of woman in the world,
  Ay, every dram of woman’s flesh, is false,
  If she be.",Act 2 Scene 1,Pandemics
"The justice system is a farce. Reminds me of the current push by Mitch Mcconnell to ram through the lifetime appointment of a known conservative judge, despite his refusal to accept Obama's nominee Merrick Garland in a similar situation. ","Our prerogative
  Calls not your counsels,",Act 2 Scene 1,Class
Somehow all of Autoclycus's ballads are showing women in a very negative light.,"It
  was thought she was a woman, and was turned into
  a cold fish for she would not exchange flesh with
  one that loved her.",Act 4 Scene 4,Gender
"I find her character to be very annoying. She comes across as extremely clingy and needy. She is a sharp contrast to the highborn women like Hermione, Paulina, or even Perdita. It could be perhaps that Shakespeare wanted to show class superiority reflecting in behaviour. ","MOPSA  Pray now, buy some. I love a ballad in print
  alife, for then we are sure they are true.",Act 4 Scene 4,Class
"Leontes was happy to cause suffering in the lives of others--Polixenes, Camillus, Perdita, Hermione--but the second he had to see those consequences in his own life he changed his tune. Like so many people during this pandemic, Leontes ignored the pain he was causing others until it affected him. Because he only changed his perspective after he lost his son, and later Hermione, is his guilt genuine or purely self-centered? Does it even matter? After he is reunited with Perdita, Hermione, and his stand-in son, Florizell, can we expect Leontes to revert back to his old ways or is he forever changed?","Apollo’s angry, and the heavens themselves
  Do strike at my injustice.",Act 3 Scene 2,Pandemics
"Mamillius is characterised as the young prince who is  like a medicine for his subjects and the one who makes old people feel young as said by Camillo, but he is the one who later dies due to an unknown disease, which is an irony in itself .",makes old hearts fresh,Act 1 Scene 1,Pandemics
This is so far one of the most biting statement by Leontes  where he calls his wife a whore and adds if she deserves an awful name just like a women who sleeps with a man before her marriage. Statements like this makes me question this gender difference we have always had and continue to have. Why a man who has slept with another woman before marriage is not looked dwon upon as a woman who does the same.,"To have nor eyes nor ears nor thought—then say
  My wife’s a hobby-horse, deserves a name
  As rank as any flax-wench that puts to
[340]  Before her troth-plight. Say ’t, and justify ’t",Act 1 Scene 2,Gender
"This is such a cliched rom-com move. The rich, handsome man leaving behind his father's wealth for his beloved, convinced that love would be the food of life.  I find it amusing that even after all this time not much has changed. ","Camillo,
  Not for Bohemia nor the pomp that may
[580]  Be thereat gleaned, for all the sun sees or
  The close earth wombs or the profound seas hides

  In unknown fathoms, will I break my oath
  To this my fair beloved.",Act 4 Scene 4,None
"I think it could be things like these which makes everyone differentiate between Perdita and other girls her age. As Yokel would chide them in the next dialogue for conversing in topics that should not be picked up in polite society,  one could see that Perdita would surely not indulge in such conversations, especially in front of guests. ","He hath paid you all he promised you. Maybe
  he has paid you more, which will shame you to give
  him again.",Act 4 Scene 4,None
Though here adultery has been called a pandemic this can be very much related to the present situation of pandemic as it afffected a large number of people and thousands of people  dont even know if they suffered from the disease.,"Many thousand on ’s
  Have the disease and feel ’t not.",Act 1 Scene 2,Pandemics
"Illness here refers to jealousy that has  not only inflicted  Leontes' state of mind but also hinges the sense of being of other characters as well. In the contemporary world , Pandemic  can be considered as a sort of illness that has affected people's psychological  conditions  drastically  even if they have not been inflicted with disease.","There is a sickness
  Which puts some of us in distemper, but
  I cannot name the disease, and it is caught
  Of you that yet are well.",Act 1 Scene 2,Pandemics
Sense of ownership is resonated in the fact that Leontes' sadness about losing his trust in his wife is equivalent to losing a part of his kingdom.,"The King hath on him such a countenance
  As he had lost some province and a region",Act 1 Scene 2,Gender
"In this passage,these lines made me ponder over the fact that time and again Hermione affirms her love for Leontes but still he did not believe in her words and became suspicious of her fidelity towards him.This refers to the patriarchal mindset of man who question his wife's character despite of her genuine proof of faithfulness. A quote by Khaled Hosseini seems apt to back this argument up ,""Like a compass needle that points north, a man's accusing finger always finds a woman.""I would like my group members to extrapolate their observations on the same.","Yet, good deed, Leontes,
  I love thee not a jar o’ th’ clock behind
[55]  What lady she her lord.",Act 1 Scene 2,Gender
I am truly impressed by Autolycus's disguising techniques. I feel that in present times he would surely by employing his skills at conning people by charming them with his clever words. Moreover the atmosphere of  fear of the unknown that surrounds us would definitely come to his advantage.,"AUTOLYCUS  And indeed, sir, there are cozeners abroad;
[290]  therefore it behooves men to be wary.",Act 4 Scene 4,Pandemics
I think this could be considered as another instance of the use of supernatural imagery.,"AUTOLYCUS  Here’s one to a very doleful tune, how a
  usurer’s wife was brought to bed of twenty moneybags
[300]  at a burden, and how she longed to eat adders’
  heads and toads carbonadoed.",Act 4 Scene 4,None
"Seems as if Leontes is more worried about  the opinions of the people rather than his wife cheating on him. Moreover, he stoops so low that he uses the word slippery to describe his wife's character. This represents commodification of Hermione.","For to a vision so apparent, rumor
  Cannot be mute—or thought—for cogitation
  Resides not in that man that does not think—
[335]  My wife is slippery? If thou wilt confess—",Act 1 Scene 2,Gender
"If he would have been so much worried about Hermione's reputation, he wouldn't have cursed and slut-shamed her without being completely confident about her relationship with Polixenes. He would have interacted with her about it first, instead of labelling her as an adulteress. It is all about trust and loyalty in a relationship. May be the foundations of their relationship weren't strong enough to make it last for a long time.","I’ll give no blemish to her honor, none",Act 1 Scene 2,Class
"Conversation  Leader Post : There is rampant misogyny throughout the play. The shocking crudeness of the words Leontes uses for his wife, with whom he mingled happily little while ago, underlines the idea how women are not humans but objects to be owned. She was not a free person, she was owned by Leontes and the fact that her apparent affair, meant a shift in ownership, a queen was equated to a 'wench' and a  'hobby-horse'. Infidelity and misogyny are not merely ruled by emotions, they signify power and control dynamics as well.  Quite surprisingly these structures of control still continue in exactly the same way. Centuries and generations apart, the pandemic of misogyny is far from a cure. I would like to discuss this as a group.","My wife’s a hobby-horse, deserves a name
  As rank as any flax-wench that puts to
[340]  Before her troth-plight. Say ’t, and justify ’t.",Act 1 Scene 2,Pandemics
Paulina is both witty and humorous. She is the much-needed mirror to point to Leontes his own madness.,"lest she suspect, as he does,
  Her children not her husband’s.",Act 2 Scene 3,None
"Since the switch to comedy, we have seen a sharp increase in costume changes and dramatic entrances- A Shakespeare classic!","Enter Shepherd and Shepherd’s  Son, 
both dressed in rich clothing.]",Act 5 Scene 2,Class
It is believed that people who are in love want time to standstill but here Leontes says something contrary to this. May be because he is of the opinion that they have an illicit relationship and they don't want to get caught.,"Wishing clocks more swift?
  Hours minutes? Noon midnight?",Act 1 Scene 2,Sexuality
Leontes slut-shames his own wife even when he is still not certain about her affair with Polixenes.,"My wife’s a hobby-horse, deserves a name
  As rank as any flax-wench that puts to
[340]  Before her troth-plight. Say ’t, and justify ’t.",Act 1 Scene 2,Gender
"This shows how a person can't make just decisions if he or she is under some kind of pressure. This can be experienced even in the prevailing situation where the law-abiding and honest officials have become the puppets with strings, held by the corrupt politicians and officials who are superior to them. ","I may be negligent, foolish, and fearful.
  In every one of these no man is free,",Act 1 Scene 2,Class
Not seeing this reunion makes Leontes and Perdita's story seem just that: a story; an old tale. It also speeds up the comedy aspect of this play rather than staying within the drama.,"Nothing but bonfires. The oracle
[25]  is fulfilled: the King’s daughter is found! Such a

  deal of wonder is broken out within this hour that
  ballad makers cannot be able to express it.",Act 5 Scene 2,Class
She is giving him a chance to make up for his mistake!,"Gentle my lord,
  You scarce can right me throughly then to say
  You did mistake.",Act 2 Scene 1,Class
A sudden shift in Leontes' attitude is visible as he realises that he is the cause of his son and wife's death.,"tenderly apply to her
  Some remedies for life.",Act 3 Scene 2,None
"Women are considered to be the weaker sex. It is assumed that they are too emotional and fragile . On the contrary, men are considered to be strong both, emotionally and physically. This is the reason why men are thought to be more rational than the women.  But I don't feel that this has a universal applicability. Don't you all feel that gender shouldn't be the basis of deciding the capabilities and attributes of people?","I am not prone to weeping, as our sex
  Commonly are, the want of which vain dew
  Perchance shall dry your pities.",Act 2 Scene 1,Gender
"The introduction of Time as a character divides the play into two distinct parts. I wanted to bring this up as a possible conversation topic because I myself am conflicted about how I feel about this large gap in time. On one hand, I can see how it makes the overall plot and structure of the play seem disjointed, and over-manipulated by the author. On the other hand, Shakespeare's decision to fast forward 16 years in time seems consistent with what we've read up to this point. It's not so different than how the play opens with ""9 months has passed since Polixenes came to visit"". In addition, the events that happen up to this point are not strictly organized in time either, the inner dialogue that Leontes has could have been happening over a few hours, or even days for all we know. The timeline aside, I really liked the introduction of time as a character. I didn't know Shakespeare would be the kind of Early Modern writer to throw greek mythology, folk tradition, and religious icons all together. But I guess this is another great example of how the Renaissance significantly expanded the scope and possibility for literature. ","[Enter Time, the Chorus.]",Act 4 Scene 1,Religion
This a rapid assumption! Maybe a boy could have helped moved Leontes?,A boy?,Act 2 Scene 2,Gender
"Leontes is obviously not a man of his word or a man of integrity. He said that he won't bring any harm to Hermione's reputation but here, we can see  how ruthlessly he is humiliating his own wife that too without any concrete evidences to support his allegations.",She’s an adult’ress;,Act 2 Scene 1,Class
Leontes growing distrust with every single person around him is very intriguing.,You’re liars all.,Act 2 Scene 3,None
Incorruptible woman.,"you would believe my saying,",Act 2 Scene 1,Gender
,"The center is not big enough to bear
  A schoolboy’s top.—Away with her to prison.
  He who shall speak for her is afar off guilty
  But that he speaks.",Act 2 Scene 1,
I feel that she is mocking Hermione as she's grown quite fat due to her pregnancy. I can sense some sort of body shaming in these lines.,"She is spread of late
  Into a goodly bulk.",Act 2 Scene 1,Class
This phrase invokes the idea of ownership .In the present time too.it has been seen that women  are merely a property owned by their husbands.,“I am yours forever.,Act 1 Scene 2,Gender
Leontes acts like a lunatic with no heart.,Commit them to the fire.,Act 2 Scene 3,None
"Paulina appears to be very confident considering she is talking to the King. She keeps emphasizing 'Good Queen' either to convince Leontes of the goodness of Hermione or sarcastically, to prove that no matter what, Hermione will always remain the Good Queen, unblemished by any accusations that come her way.  ","Good queen, my lord, good queen, I say “good
  queen,”",Act 2 Scene 3,Gender
It is a classic example of the exploitation of the power relations between a husband and a wife. The wife is expected to be obedient to any order or ruling of the husband.,"What, canst not rule her?",Act 2 Scene 3,Gender
,,,
"Leontes' ability to send Hermione to prison so easily reminds me of contemporary incarceration practices, especially in the United States. Leontes has the power to declare what is considered a ""crime"" and how Hermione should be punished for it. In this sense, incarceration is not a means to achieve justice or reconciliation, but an oppressive system that prioritizes convenience, dominance, and paranoid, hyper-masculine, punitive impulses. What would justice look like in this play? Is there any? How do intersections like class and gender affect who is punished and who is forgiven? I’d like my group to reflect on these questions in relation to our lives and the pandemic. ","The center is not big enough to bear
  A schoolboy’s top.—Away with her to prison.
  He who shall speak for her is afar off guilty
  But that he speaks.",Act 2 Scene 1,Race
"This came as a slight surprise to me. While it is true that Leontes has become mad with jealousy , but  he  had said that he would listen to the oracle whether it speaks in his favor or Hermoine's favor. (Act 2 Scene  1, line 220) The fact that he completely  rejects the oracle highlights the urgency, the passion he has for punishing Hermoine.  This level of rage emphasizes that she is reduced to being a second  class citizen because of her gender, despite being a Queen.","There is no truth at all i’ th’ oracle.
  The sessions shall proceed. This is mere falsehood.",Act 3 Scene 2,
"Perdita argues for ""racial"" purity. While she is about to enter into what is, on the surface, a marriage that mixes the ""pure"" flower with the ""wildest stock."" It seems a subtle dig that Shakespeare  doesn't support this theory, since ultimately Perdita is revealed as royal.","Of that kind
  Our rustic garden’s barren, and I care not
  To get slips of them.",Act 4 Scene 4,None
"Mamilius dies off stage. A death , a mourning scene, even a proper grieving for losing the Prince is not written. In my opinion this was done, because of the impact of those scenes would have been so intense that it would have shown Leontes' mistake a grave blunder. He would have become incapable of redemption. The audience is made to conveniently forget the loss of a child.",Is dead.,Act 3 Scene 2,
"Conversation Leader Post: Leontes in this monologue outlines the issue of adultery, cuckoldry and thus the omnipresent misogyny. Hermione's apparent infidelity is something more than a personal matter of a couple. Leontes attaches himself to the word ‘cuckold’ and its social aspects which (gathering from this play) is the worst of worst that could happen to a man. He describes the problem of adultery by wives like a Pandemic. The Elizabethan society very well viewed it as Plague – debilitating as a disease, incurable, humiliating, happens to everyone and lived in fear of it. I would like to discuss this as a group.","There have
  been,
  Or I am much deceived, cuckolds ere now;
[240]  And many a man there is, even at this present,
  Now while I speak this, holds his wife by th’ arm,
  That little thinks she has been sluiced in ’s absence,
  And his pond fished by his next neighbor, by
  Sir Smile, his neighbor. Nay, there’s comfort in ’t
[245]  Whiles other men have gates and those gates
  opened,
  As mine, against their will. Should all despair
  That have revolted wives, the tenth of mankind
  Would hang themselves. Physic for ’t there’s none.
[250]  It is a bawdy planet, that will strike
  Where ’tis predominant; and ’tis powerful, think it,
  From east, west, north, and south.",Act 1 Scene 2,Pandemics
"Leontes is threatening Camillo as if he owns him. This can be seen even today where because of the class difference many influential people treat the poor as their slaves and instruct them to work according to their will. If they fail to do so, then they torture them. It is always the underprivileged who have to suffer the most in each and every situation. Even during the pandemic, we can see how the poor are dying due to starvation. They have to roam from one place to another because they can't afford the rent of the places where they used to live prior to the existence of the pandemic. ","This is all.
  Do ’t and thou hast the one half of my heart;
[420]  Do ’t not, thou splitt’st thine own",Act 1 Scene 2,None
"Instead of solving the problem, Camillo chose the easy way of helping Polixenes to leave for Bohemia. This is something a coward would have done. If Camillo was wise than he would have helped them to interact and sort out the misunderstanding rather than asking him to leave for Bohemia. But somehow he was also afraid because of the warning given to him by Leontes Moreover, Polixenes, who I thought of as  a wise man opted for the easier path, maybe because of the fear of death.","That lies enclosèd in this trunk which you
  Shall bear along impawned, away tonight!",Act 1 Scene 2,None
